Time, AT 
2025-10-27 02:00:00,-3.9 
2025-10-27 06:00:00,-5.7 
2025-10-27 08:00:00,-7.0 
2025-10-27 10:00:00,-7.7 
2025-10-27 13:00:00,-6.7 
2025-10-27 16:00:00,-7.1 
2025-10-27 23:00:00,-1.7 
2025-10-28 03:00:00,-3.4 
2025-10-28 04:00:00,-3.5 
2025-10-28 06:00:00,-4.8 
2025-10-28 10:00:00,-5.2 
2025-10-28 16:00:00,-4.9 
2025-10-28 22:00:00,-4.2 
2025-10-29 01:00:00,-4.2 
2025-10-29 04:00:00,-4.1 
2025-10-29 05:00:00,-4.0 
2025-10-29 07:00:00,-3.5 
2025-10-29 10:00:00,-2.4 
2025-10-29 13:00:00,-2.0 
2025-10-29 19:00:00,0.9 
2025-10-29 21:00:00,1.0 
2025-10-29 22:00:00,0.8 
2025-10-29 23:00:00,-0.6 
2025-10-30 01:00:00,-1.2 
2025-10-30 06:00:00,-0.5 
2025-10-30 08:00:00,0.1 
2025-10-30 10:00:00,-0.1 
2025-10-30 11:00:00,-0.1 
2025-10-30 13:00:00,-2.1 
2025-10-30 15:00:00,-2.9 
2025-10-30 19:00:00,-0.2 
2025-10-30 20:00:00,0.1 
2025-10-30 21:00:00,0.4 
2025-10-30 22:00:00,1.0 
2025-10-30 23:00:00,0.7 
2025-10-31 03:00:00,-0.1 
2025-10-31 08:00:00,-0.4 
2025-10-31 09:00:00,0.2 
2025-10-31 10:00:00,0.6 
2025-10-31 13:00:00,-0.3 
2025-10-31 16:00:00,0.0 
2025-10-31 19:00:00,0.0 
2025-11-01 00:00:00,0.3 
2025-11-01 03:00:00,0.2 
2025-11-01 05:00:00,-0.2 
2025-11-01 07:00:00,-0.5 
2025-11-01 10:00:00,-1.3 
2025-11-01 11:00:00,-1.5 
2025-11-01 13:00:00,-2.3 
2025-11-01 15:00:00,-1.9 
2025-11-01 17:00:00,-2.2 
2025-11-01 18:00:00,-1.3 
2025-11-01 19:00:00,-1.2 
2025-11-01 20:00:00,-1.2 
2025-11-02 02:00:00,-3.0 
2025-11-02 03:00:00,-3.2 
2025-11-02 04:00:00,-3.3 
2025-11-02 05:00:00,-3.3 
2025-11-02 06:00:00,-3.3 
2025-11-02 07:00:00,-3.4 
2025-11-02 13:00:00,-3.9 
2025-11-02 14:00:00,-4.1 
2025-11-02 20:00:00,-1.9 
2025-11-03 00:00:00,-3.0 
2025-11-03 02:00:00,-2.7 
2025-11-03 03:00:00,-2.3 
2025-11-03 07:00:00,-3.8 
2025-11-03 09:00:00,-4.6 
2025-11-03 10:00:00,-4.6 
2025-11-03 11:00:00,-4.7 
2025-11-03 13:00:00,-4.9 
2025-11-03 15:00:00,-5.0 
2025-11-03 18:00:00,-4.2 
